"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL928654.3",2.40206595609416,-2.140874936125,0.284662759839626,-7.52074116519888,5.44665844307272e-14,2.19896715111112e-12
"CES5AP1",39.1793131028957,-2.12634193932536,0.37349768207864,-5.69305257128116,1.24787943068729e-08,1.48223164909363e-07
"AL353747.3",15.9148039142764,-2.11185074756691,0.363689350723502,-5.80674342915381,6.36996343545479e-09,8.05246918745557e-08
"AC093722.1",2.07680150652238,-2.10685961768056,0.278770294525099,-7.55769053969582,4.10288749256822e-14,1.6955083618806e-12
"RPL36AP29",4.23794635471201,-2.08251757327361,0.347030936425234,-6.00095655656991,1.96158473341488e-09,2.78156899527562e-08
"LMO7DN",16.683497330103,-2.07908726298035,0.348900105048291,-5.95897574376651,2.53823766348084e-09,3.50768069366191e-08
"AC009021.2",1.73407168536515,-2.07725097741064,0.521815890908554,-3.98081203275327,6.86802439137977e-05,0.000334939980311205
"HFM1",48.0966960059403,-2.06717460024895,0.246124737153107,-8.39889002690139,4.50718673161314e-17,3.42759549554391e-15
"VSTM2L",1933.05736563303,-2.06463267224823,0.257863868717274,-8.006676866048,1.17849612748164e-15,6.65272279519502e-14
"AP000344.2",29.8872889569586,-2.05452168244425,0.294651530743614,-6.97271681317671,3.10878015056457e-12,8.28349187872617e-11
"PMP2",2.57401270020132,-2.04634704221048,0.652209140899081,-3.13756265266316,0.0017035886084513,0.00566628384984891
"AC098583.2",1.43135481661506,-2.04251712574795,0.333404730570367,-6.12623918758965,8.99805092272912e-10,1.36586161959348e-08
"WFDC12",234.106043939201,-2.03239754248919,0.320312063400146,-6.34505463489285,2.2234652432549e-10,3.92347487043184e-09
"SCEL",1765.61886014309,-2.02752170330392,0.275115136137132,-7.36972066230951,1.70985928576482e-13,5.99866557069595e-12
"ATP5MC1P3",8.92954400096102,-2.02558173385896,0.282283507070045,-7.17569990143399,7.19381989035089e-13,2.22069591427037e-11
"CMA1",31.0879253526779,-2.01708403980491,0.265162893766235,-7.60696193632265,2.80613910903589e-14,1.19948447325929e-12
"AC005487.1",4.62333754479722,-2.01026736767302,0.215220694892312,-9.34049287722486,9.58867040326619e-21,1.5340281164661e-18
"MTCO1P23",0.975358282921758,-2.00846047229049,0.566053149233078,-3.54818354956893,0.000387897802841366,0.00154885953669757
"AC093390.1",24.5328489294371,-2.00637251841594,0.396391966833159,-5.06158723256977,4.15780423999404e-07,3.50085288373634e-06
"AC087477.5",33.3341386367218,-1.99979380583997,0.183527678843284,-10.8964152897482,1.19887936367031e-27,7.11138349933421e-25
"AC006960.2",5.90655060314568,-1.99036005488468,0.597892852866667,-3.32895776449185,0.000871716225170798,0.00315882432121102
"LINC01965",3.84107786498973,-1.97189291400912,0.307421949234455,-6.41428798080145,1.41482539380696e-10,2.63272238820566e-09
"ADGRA1-AS1",2.02995372043594,-1.96956126616364,0.48896417990047,-4.028027710669,5.62467154832389e-05,0.000280404494720941
"MTCYBP18",124.907622416546,-1.9631146540558,0.278715074654319,-7.04344627390746,1.87542334540521e-12,5.25882345494133e-11
"SLC7A13",11.9073380343559,-1.9570798354945,0.390142259175898,-5.01632363443137,5.26695797004277e-07,4.34137893928475e-06
"KCNT2",1076.87703260157,-1.95462459354267,0.234623884937051,-8.33088495686232,8.02402748849015e-17,5.81530834297418e-15
"LRFN5",243.164165803442,-1.95158411313728,0.337898358838718,-5.77565431168248,7.66546099038361e-09,9.53693171814232e-08
"SCN2B",51.9046009452784,-1.94686072262696,0.34051784610953,-5.71735298126118,1.08196214778189e-08,1.30087258335764e-07
"SLC22A7",818.962506297546,-1.93774491595363,0.328339557820158,-5.90164928288962,3.59885573927379e-09,4.78639123433737e-08
"AL008987.1",0.862320790739198,-1.93539027883847,0.502807524199217,-3.84916729701055,0.000118520042831927,0.000542457119115358
"WFDC5",350.057801050783,-1.91268320509311,0.327342679667761,-5.84306087747066,5.12502775253058e-09,6.63311748998218e-08
"AC087477.4",5.78439907720203,-1.91229983740144,0.236100112581962,-8.09952954485606,5.51721270052181e-16,3.34994728946959e-14
"ZPBP",8.91159924408621,-1.9118480913712,0.22723688460987,-8.41345846935695,3.98095263042029e-17,3.06979219236969e-15
"AC090340.1",2.97040428047892,-1.89548374016081,0.372217355887995,-5.09241095337637,3.53538770960504e-07,3.02444002189686e-06
"LHB",21.3309927575458,-1.89149079919351,0.20717148510031,-9.13007308065425,6.84530697677175e-20,9.4259877070147e-18
"AC025125.1",0.570746316289027,-1.88616178802664,0.769828498647583,-2.45010647350703,0.0142813977160948,0.0355499754885243
"CYP27C1",127.671671556705,-1.88250104736135,0.265745306513162,-7.08385435687124,1.40199254568413e-12,4.06736076684707e-11
"KLHL1",3.46496769630149,-1.87889737164141,0.383264857040473,-4.90234712921513,9.4698303762182e-07,7.34054644120364e-06
"AC010997.3",1.14630207937761,-1.8764154304649,0.341765917313631,-5.49035271045752,4.01131882803062e-08,4.25827116557127e-07
"AC097359.1",4.19680011505936,-1.86368426132748,0.251738832995942,-7.40324501844942,1.32896211628451e-13,4.83847623753214e-12
"CRB3P1",8.53288344527612,-1.86165947194762,0.285048578922222,-6.53102526940009,6.53209757234803e-11,1.30628399377308e-09
"AC108078.1",3.03247040245702,-1.85860303416932,0.482909126711107,-3.84876352788669,0.00011871553882552,0.000542982925167736
"LINC01446",1.18943297528489,-1.85588845006399,0.712203503266238,-2.60584010265703,0.00916492350237565,0.0243379565092359
"AC010395.1",5.82469364074931,-1.85473219854686,0.269904497467694,-6.87180916193836,6.33927253701367e-12,1.57282491594015e-10
"SRGAP3-AS4",2.90980676553275,-1.84786375308158,0.232304140956448,-7.95450199670792,1.79853472752296e-15,9.79439335513773e-14
"AC097359.3",3.55190310134809,-1.84756807926281,0.304303251218048,-6.07147006109025,1.26744593260213e-09,1.87088994553628e-08
"RELN",3337.60896129013,-1.8277033708066,0.246541233991492,-7.41337804316206,1.23122265650344e-13,4.50389191120936e-12
"PAPOLB",1.53126216782355,-1.82625807579652,0.40267212168382,-4.53534768724444,5.75086681541325e-06,3.6552987295594e-05
"AC015818.3",12.3764536123628,-1.81526582659506,0.292432094142119,-6.20747812212726,5.38416014878662e-10,8.61018990861124e-09
"AC036214.1",7.23309234215411,-1.8150238088403,0.300182405342611,-6.04640304207281,1.48115298638079e-09,2.15580726851256e-08
