"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OR7C1",0.876389607683354,1.40579150623791,0.442783316048423,3.17489719076084,0.00149889597433933,0.00506409333917167
"IGHV3-22",1.0432358602627,1.40525440238386,0.512778256939208,2.74047189670614,0.00613510284240698,0.0172678915553003
"AL450345.1",0.665996254191298,1.40522230963056,0.552043699309478,2.54549107505127,0.010912415337188,0.028265978215695
"AC135584.1",0.841579994916866,1.40493450861296,0.396308324142051,3.54505424950243,0.000392532288389271,0.00156558135007104
"GP9",0.62186255444179,1.40492958909245,0.385686359299195,3.64267378199545,0.000269820697590437,0.00112309260674694
"LINC01785",1.25709882737654,1.40445212308912,0.592666509252658,2.36971737252391,0.01780168734796,0.042905660898165
"TRBV11-3",0.728571309977689,1.40419216725144,0.366495477239946,3.83140380838073,0.00012741418835459,0.000579108976329081
"KRT18P9",0.654606988388898,1.40401409244257,0.409502775095761,3.42858260756411,0.000606741856776553,0.00230138111459683
"OXGR1",2.130432589933,1.40295097597504,0.292771231277398,4.79197006431878,1.65151549436168e-06,1.20781167300093e-05
"AL033381.1",31.0800414203105,1.40267535881702,0.300243039112811,4.67179976249169,2.98571957107785e-06,2.03928084645664e-05
"LINC02437",0.706188623661799,1.40246403061256,0.537368419376655,2.60987430604762,0.00905754960426,0.024081015207685
"ANKRD22",105.641929311534,1.40148013620005,0.211103734033382,6.63882210618992,3.1619973152806e-11,6.76923756179671e-10
"AC114812.2",2.45185065142513,1.40069663347928,0.356624292968469,3.92765344676933,8.57786922500506e-05,0.000407602077692008
"FAM169A",56.4582412407944,1.40060158339819,0.23095083907479,6.06450095184381,1.32363995214921e-09,1.94268222288028e-08
"AC118282.1",1.09779342578967,1.40057298265584,0.334423177571354,4.18802605975779,2.81391212109909e-05,0.000151252189796594
"SRPX2",209.335839983513,1.40028499087108,0.25564932074947,5.47736636563696,4.31702803992109e-08,4.53782260379491e-07
"LCNL1",3.84093661308462,1.4000086719282,0.276359421005267,5.06589812221933,4.06479277869779e-07,3.4316214227167e-06
"S100A3",71.9174028152173,1.39965914197768,0.166728422235178,8.39484428157903,4.66512107843129e-17,3.51305484960931e-15
"CPA5",3.19046486841782,1.39963743911782,0.304208080041871,4.60092131321815,4.20626314525753e-06,2.76799252139528e-05
"AC009977.1",1.61448772543568,1.39953708414042,0.408212488521988,3.42845239548578,0.000607032984562531,0.00230203243363755
"LINC01913",0.778799013322854,1.39913155209505,0.471685046261763,2.9662410610291,0.0030146409703975,0.00931574074333942
"RPS16P9",0.507878073871634,1.39893245767767,0.386670377363927,3.6178940502624,0.000297009926191291,0.00122071364611783
"GOLGA8G",0.551768222636659,1.39877917714376,0.403238279615119,3.4688650553684,0.000522661909692945,0.00201699055050758
"KCNQ2",6.13603967072662,1.39799952909116,0.378733819728838,3.69124555629091,0.000223158565256157,0.000949547815549138
"LINC01956",27.162474203922,1.39673671857979,0.306907915435653,4.5509960751489,5.33925442059525e-06,3.42074266268645e-05
"AP001775.1",0.771373429815301,1.39657776835078,0.492761692512608,2.83418494085769,0.00459427352274435,0.0134542834898246
"NXPE1",2.65574236606608,1.39541700000875,0.337147845592916,4.13888748882479,3.48994037514128e-05,0.000182898112143465
"CIDEA",0.793670071900837,1.39540181767666,0.505455749557704,2.76068047281627,0.00576810790859215,0.0163863224671146
"OLFML1",181.367094809144,1.39525975106283,0.190758049409834,7.31429030323741,2.58745221162092e-13,8.75871882978546e-12
"HTR1F",6.35010789695248,1.39491163388501,0.250799680489269,5.56185570557257,2.66920956331418e-08,2.94460783757201e-07
"OTP",1.0991111811211,1.39490594818003,0.373293747239296,3.73675144171605,0.000186413031454163,0.000811487054391636
"AL355076.2",0.590494821971937,1.39489224201104,0.427108282604593,3.26589836540912,0.00109117405308449,0.00383722243622087
"LINC01443",17.6275193810465,1.39414627917227,0.412031390550914,3.38359239403629,0.000715441306961535,0.00265644790362182
"AC090286.3",9.51465332974308,1.39406174036319,0.235181178873982,5.92760758763853,3.07379958948527e-09,4.15836550779628e-08
"KIF20A",231.492535857909,1.39324851594186,0.169319899282177,8.22849837407455,1.89574876217556e-16,1.27117372651201e-14
"NKG7",393.838550338008,1.39290582681314,0.19046880699427,7.31303906815067,2.61167039779767e-13,8.81747494373793e-12
"IGHV1-67",4.65769258402839,1.39287871519171,0.448744167108832,3.10394834581528,0.00190956666436198,0.00625726049654306
"WNT3A",3.93607024673103,1.39278197899895,0.292159994344727,4.76718923178638,1.86813832325243e-06,1.34581354991257e-05
"NLRP7",5.06834166219645,1.39273449240736,0.292684627167795,4.75848187137244,1.95054406818776e-06,1.39916608545204e-05
"IGHV3-25",1.25336020809213,1.39233126441204,0.523534164558521,2.65948501295259,0.00782602117504471,0.0212478985607271
"IGHV1-2",174.156836771262,1.39187825526359,0.360055501174282,3.86573250713883,0.00011075627731435,0.000510987080068453
"IGHV7-56",1.99410647582447,1.39158438684438,0.48610449914628,2.86272681962077,0.00420012517533606,0.0124416123432896
"SLIT1",34.0043095976519,1.39129492971219,0.15780260126944,8.81667931022646,1.17904314713623e-18,1.28779568218087e-16
"ALX4",3.93309406932719,1.39119436723027,0.246155825561272,5.65168166976402,1.58885638582747e-08,1.83938293192545e-07
"RNASEH1P2",0.453151558362933,1.39072501503015,0.42255041606593,3.29126410045507,0.000997382287235136,0.00354718858653611
"IGHV3-33",111.638024858637,1.39038627648566,0.348452835588796,3.99017064715879,6.60257742679779e-05,0.000323385385248495
"TSHZ2",178.542758353734,1.38978781677023,0.217025124396339,6.40381071378699,1.51545977571829e-10,2.79435997669032e-09
"IGKV1OR9-2",0.610920483530235,1.38923575867931,0.454838748746765,3.05434785955929,0.00225550383537433,0.0072445189833966
"AL359853.1",1.16728190131497,1.38864231761646,0.239439305827509,5.79955873500916,6.64896474458599e-09,8.36675863878124e-08
"AC233296.1",0.483333905761484,1.38862415011854,0.452252964770548,3.07045892075702,0.00213730085230826,0.00691033724625555
"IGKV2OR22-4",3.96785424886474,1.38854038191965,0.453982118299151,3.0585794593008,0.00222389093709788,0.00715669301149703
"ASCL1",1.78197549035122,1.38835351998207,0.453130887474114,3.06391278626175,0.00218462587280009,0.0070450347232921
"RGS5",4564.01335348849,1.38828192110756,0.159161578744106,8.7224689027469,2.72200449191083e-18,2.76183171552932e-16
