"","x"
"577","IGFBP5"
"578","TMPRSS2"
"579",NA
"580","GSTA1"
"581","PFN3"
"582","LOC101927495"
"583",NA
"584","RNU6-844P"
"585",NA
"586",NA
"587","ANGPTL3"
"588","LRRC2"
"589","TEX51"
"590","GREM2"
"591","PCK1"
"592",NA
"593","NKD1"
"594","LINC00507"
"595","APOH"
"596","PM20D1"
"597","KCNJ9"
"598","GPR22"
"599","TCL1B"
"600",NA
"601",NA
"602","CIDEA"
"603","AGMAT"
"604",NA
"605","LINC02138"
"606","LINC01108"
"607",NA
"608","FER1L6"
"609","LDLRAD4-AS1"
"610","MCCD1"
"611","TIMP3"
"612","PLPPR1"
"613",NA
"614","BHMT"
"615",NA
"616","LINC01879"
"617",NA
"618","DGKB"
"619","PRMT8"
"620","GPX3"
"621","KIRREL2"
"622",NA
"623","LY86-AS1"
"624",NA
"625",NA
"626","MRO"
"627","ASS1P3"
"628","PRSS3"
"629",NA
"630",NA
"631","LINC00602"
"632","CPA1"
"633","NR4A3"
"634",NA
"635",NA
"636","PNPLA1"
"637",NA
"638","PDYN-AS1"
"639",NA
"640","RBP3"
"641","ASS1P14"
"642","IFNA14"
"643","SHOC1"
"644","TDGF1"
"645","CCNI2"
"646","DUSP26"
"647","PP7080"
"648","SPTB"
"649","TSHB"
"650","ADH4"
"651","CRB2"
"652","LOC100128334"
"653","TSPAN7"
"654","VWA5B1"
"655","ART1"
"656",NA
"657","SCUBE1"
"658","LINC00237"
"659",NA
"660","FGF9"
"661","DNASE1L3"
"662","RNF150"
"663",NA
"664",NA
"665","LINC02119"
"666","ASS1"
"667","PAK6"
"668","WT1-AS"
"669",NA
"670",NA
"671","SIM2"
"672","NCAPD2P1"
"673","ISX"
"674","DIO1"
"675","LOC101926956"
"676","PDZD2"
"677","MRGPRF-AS1"
"678","LINC01541"
"679","ASS1P9"
"680",NA
"681","SCUBE3"
"682","LOC100506474"
"683",NA
"684","LDLR"
"685","LDC1P"
"686",NA
"687","FAM169A"
"688","UBE2QL1"
"689","TTC36"
"690","SYN3"
"691","LINC01561"
"692","LOC100422024"
"693",NA
"694","LOC105375115"
"695","C11orf53"
"696","NRK"
"697","CST11"
"698","STAP1"
"699",NA
"700",NA
"701","DNMT3L-AS1"
"702","BMPR1B"
"703","FYB2"
"704",NA
"705","SLC13A2"
"706","UICLM"
"707","GRID2"
"708",NA
"709","SLC7A10"
"710",NA
"711","LINC02360"
"712","CCBE1"
"713",NA
"714","PDE2A"
"715",NA
"716",NA
"717","GRHL2"
"718","STRIT1"
"719","CLEC3B"
"720","IL19"
"721","PPY2P"
"722","DAO"
"723",NA
"724",NA
"725",NA
"726","KLK1"
"727","NDST3"
"728","C1QTNF7"
"729","SCTR"
"730","CA10"
"731",NA
"732",NA
"733","LINC01612"
"734","STC1"
"735","TDGF1P3"
"736","PAH"
"737",NA
"738","MECOM"
"739","RDH12"
"740",NA
"741","GPRC6A"
"742","IGSF10"
"743","CYP27B1"
"744",NA
"745","ADGRF5"
"746",NA
"747","OR7E90P"
"748","CAPZA3"
"749","CTD-3080P12.3"
"750","PRSS35"
"751","HECW1"
"752","GPAT3"
"753","SSTR2"
"754",NA
"755","NR1I3"
"756","LINC00871"
"757",NA
"758",NA
"759",NA
"760","PLEKHS1"
"761","RAET1E"
"762","HAO2"
"763","ARSFP1"
"764","MGAT4C"
"765",NA
"766","NTNG1"
"767","ANK2"
"768",NA
"769",NA
"770","FAM180A"
"771","SLC43A1"
"772","EPO"
"773","MYBPH"
"774","PLA2R1"
"775","NKX6-2"
"776","LSINCT5"
"777","LINC01687"
"778","LINC01485"
"779",NA
"780","CASQ2"
"781",NA
"782","LINC02404"
"783","XG"
"784","ARG2"
"785","ESRRG"
"786",NA
"787","HYAL4"
"788","NEURL1"
"789","PTPRB"
"790",NA
"791","PES1P2"
