"","x"
"789","MMP9"
"790","LINC02249"
"791",NA
"792",NA
"793","LINC01611"
"794",NA
"795","LOC349160"
"796","SLC7A11-AS1"
"797","UGT1A8"
"798",NA
"799",NA
"800","ATP2B2"
"801",NA
"802","XKR4"
"803",NA
"804",NA
"805",NA
"806",NA
"807","MIR378B"
"808",NA
"809","E2F1"
"810","B4GALNT4"
"811","SPC24"
"812","PRSS3P4"
"813",NA
"814","LOC105378137"
"815","TRIM74"
"816","CCND2-AS1"
"817","TMEM145"
"818",NA
"819","RN7SL316P"
"820","SNORD60"
"821","LY86"
"822","ARHGAP40"
"823",NA
"824",NA
"825","ACHE"
"826",NA
"827","CDCA7"
"828","PCLAF"
"829","CRYAB"
"830",NA
"831","GPC2"
"832","SCGN"
"833",NA
"834","PRAM1"
"835","NMU"
"836","PRR7"
"837",NA
"838","ALOX5"
"839","LINC02188"
"840","ATP6V1FNB"
"841","LOC100506691"
"842","TRIM9"
"843","CLEC5A"
"844","TNIP3"
"845","GAPLINC"
"846","E2F2"
"847","LINC02365"
"848",NA
"849","RTL1"
"850",NA
"851",NA
"852","UHRF1"
"853","C3orf84"
"854","SLC34A2"
"855","BECN2"
"856","HHIPL2"
"857",NA
"858",NA
"859","LINC00173"
"860","LINC01269"
"861","HSF4"
"862","KCNH2"
"863",NA
"864",NA
"865","LINC01587"
"866","ASF1B"
"867","KRT17P6"
"868","NKX2-3"
"869","RNVU1-32"
"870","CDT1"
"871","SULT1C4"
"872",NA
"873",NA
"874","LINC01270"
"875",NA
"876","KIF20A"
"877","C1QL4"
"878",NA
"879",NA
"880","ASIC4"
"881","TFR2"
"882","IL20RB"
"883","APBA2"
"884",NA
"885","MUC16"
"886","SLC45A2"
"887","LINC02097"
"888","MEIS3"
"889","FAM72C"
"890",NA
"891","HLA-G"
"892","TTLL2"
"893","LINC01012"
"894","CYP21A2"
"895","MAGEA6"
"896","LINC02280"
"897","LINC01133"
"898",NA
"899","KRT17"
"900","METTL27"
"901","IFNA1"
"902",NA
"903",NA
"904",NA
"905","TYROBP"
"906","LINC01480"
"907","BRSK1"
"908","KREMEN2"
"909","FCGR1A"
"910","DEPDC1"
"911",NA
"912","ZPLD1"
"913","BMS1P22"
"914","C1QTNF3"
"915",NA
"916","KLF1"
"917","CLEC12B"
"918","SPINK13"
"919","ARHGAP22"
"920",NA
"921",NA
"922","TMSB10"
"923",NA
"924","KRT8P17"
"925","LOC100506271"
"926",NA
"927","RUFY4"
"928","KRT27"
"929","POLQ"
"930","SLC6A20"
"931","ACSM1"
"932","TBC1D3E"
"933","CXCL13"
"934","LOC105375924"
"935",NA
"936",NA
"937",NA
"938","PINCR"
"939","LOC105371967"
"940",NA
"941","MSLN"
"942",NA
"943","IL36B"
"944",NA
"945","ORM1"
"946","C4orf48"
"947",NA
"948",NA
"949","LOC101929759"
"950",NA
"951",NA
"952","EFCAB1"
"953","AKR1C1"
"954","KRT18P13"
"955","DRC7"
"956",NA
"957","UCA1"
"958",NA
"959","BBC3"
"960",NA
"961","SAA4"
"962","FABP7"
"963","LILRA2"
"964","MIR4500HG"
"965",NA
"966",NA
"967","MED15P5"
"968","LPGAT1-AS1"
"969",NA
"970","VSIG1"
"971","EME1"
"972","TRPC2"
"973","GS1-594A7.3"
"974","PTTG1"
"975","MAGEA4"
"976","DPYSL5"
"977","LINC00160"
"978","SCAT1"
"979","ITPKA"
"980","MRGPRE"
"981","AFAP1-AS1"
"982","CLIC6"
"983",NA
"984",NA
"985","HTR2C"
"986","MAGEA1"
"987",NA
"988","LINC01090"
"989","LOC100289473"
"990",NA
"991","CASC20"
"992",NA
"993","CELF5"
"994",NA
"995","SPON1"
"996","GPR143"
"997","LOC101928517"
"998","SIRPG-AS1"
"999","NEFM"
